PID,Social Media Post,Normalized Claim
1713,"Ok, so it is all funny and hilarious to us but some people are going to take this to heart. Last time, a voting center in downtown Detroit was ambushed by right wingers. This rhetoric of lies is exactly what lead up to Jan 6th.",An 'absentee ballot situation' in Detroit proves there was cheating
1714,"The difference between the two groups was 60-75 per cent, for example one group would remember to do seven things compared with four tasks completed by those who did not smell the oil, and they were quicker",Scientists find sniffing rosemary can increase memory by 75%.
1715,"Parents Beware: 
 
 Fentanyl is the No. 1 killer of Americans ages 18-48",Fentanyl is the no. 1 cause of death amongst young Americans
1716,And Nehru remained true to his oath till the very end!,"Nehru is taking OATH in Britain as a British citizen to become PM of India ? What a mockery, Congress has done to the Indian citizen & his family continude with GANDHI surname ? Reason India should be “CONGRESS MUKT BHARAT”!"
1717,Former Chief Minister of Gujarat Vijay Rupani ji himself removed the red light from his car. Such scenes make democracy great,Former Chief Minister of Gujarat Vijay Rupani ji himself removed the red light from his car. Such scenes make democracy great.
1718,"What sort of protest is this??? First they were anti Modi, then started anti Hindu Rants and now standing on our national flag and beating it with their shoesWAKE UP HINDUS, these are not farmers but Khalistanis and Pakistanis. Period. #FarmersProtestHijacked",Farmers disrespecting the national flag in the ongoing protests against the new farm legislation
1719,"Ladies and Gentleman, I give you, once again, Her Majesty's Secretary of State for Digital, Culture, Media and Sport, Nadine Dorries.","Nadine Dorries said people should stop moaning about the demand for food banks, and families would need to “live within their means” because “food doesn’t grow on trees”."
1720,COOK IN STAINLESS OR GLASS - USE NO ALUMINIUM COOKWARE - COOK ON THE STOVE OR IN THE OVEN - AVOID USING MICROWAVE!,The use of Aluminium cause Cancer and Alzheimer’s
1721,"..
IEBC is very disjointed!",IEBC press release addressing Wafula Chebukati’s withdrawal from the multi-sectoral consultative forum
1722,"Thusara Ajith, a woman entrepreneur in Kerala, was attacked by Muslims for declaring that her restaurant does not sell halal-certified food","Thusara Ajith, a woman entrepreneur in Kerala, was attacked by Muslims for declaring that her restaurant does not sell halal-certified food"
1723,"Look at the French they are going on General Strike because retirement is going to 64.
 
 Their Energy bills are 40% of ours
 They retire 6 years earlier
 Their pension is 3x higher
 Their wages are 25% higher
 
 Yet still they will strike. Why are they better off?
 
 Because they strike",Energy bills in France are about 40% of those in Britain.
1724,"A Prime Minister like Manmohan Singh is needed to give the right direction to India and improve the weak, falling economy.",Rishi Sunak praises Manmohan Singh's economy ideas
1725,"Robert Malone, the anti-vaccine doctor from Joe Rogan's podcast, just opened his speech in front of the Lincoln Memorial by invoking Martin Luther King Jr.'s speech at the March on Washington, adding that antivaxx marchers in D.C. today are ""standing on the shoulders of giants.""","""Even in Hitler’s Germany, you could cross the Alps into Switzerland, you could hide in an attic like Anne Frank did,"""
1726,#TwitterTakeover twittingly,UPDATED: Dettol can kill Novel Coronavirus causing COVID-19
1727,"Hermeticism is the ancient philosophy, theory and practice of the inner secrets of man, nature and spirit. It's origins are lost in the mists of prehistory. Its revivals in the Hellenistic, Renaissance and modern times have often been pale reflections of its real nature. Though much of its records are lost, it has re-risen from the flames like the Phoenix under many different guises. Fragments of this great primal teaching are distributed throughout the world.
Hermes Trismegistus, its legendary founder, has been called the originator of writing, the sciences and arts, as well as the patron of esoteric teachings and magick. He has been equated as one and the same as Tehuti, Thoth, Enoch and Idris, among many other spiritual teachers at the dawn of human history.
Hermetic teachings have been transmitted through a long line of masters and teachers throughout the ages. Its survival throughout the ages has been accomplished by means of guardians of the holy mysteries. These guardians have emerged from time to time to disclose precious fragments of these timeless teachings","Nikola Tesla said: ""Death does not exist, and with that very knowledge, the fear of it disappears. And remember: no man who existed died. They turned into light and as such still exist."""
1728,"Venice, Italy",Aerial view of heart-shaped Venice city
1729,The majority of mankind (that are non-white) support Russia's stand in Ukraine.Putin is absolutely right! When the USSR parked nuclear armed missiles in Cuba in 1962 the West was ready to blow up the world over it. Now when NATO does the same they expect Russia to do differently?,"A CNN headline shows Uganda’s president saying he doesn’t support Ukraine because it would be “disgusting.”
"
1730,"Earlier today, deputies were called to the Ritz-Carlton Orlando, Grande Lakes for a call about an unresponsive man in a hotel room. The man was identified as Robert Saget & pronounced deceased on scene. Detectives found no signs of foul play or drug use in this case. 
 #BobSaget","Says Bob Saget died from the COVID-19 vaccine.
"
1731,VP Pence is in Tampa right now,"""I would do press events in May, I would never be asked about coronavirus.''"
1732,Safe and effective.....,Pfizer withdraws the drug Chantix for causing Cancer
1733,"Naw, surely it's some weird kind of coincidence, right? I mean, really, it is. Right???!",there were no cases of Flu in the year 2021
1734,"France President, Emmanuel Macron slapped in public again","France President, Emmanuel Macron slapped in public again"
1735,"FIFA 2022,,, opening ceremony fireworks. So beautiful.","caption reads, “FIFA 2022,,, opening ceremony fireworks. So beautiful."
1736,"The new NCP coronavirus may not show sign of infection for many days, how can one know if he/ she is infected. By the time they have fever and or cough and goes to the hospital, the lungs is usually 50 % Fibrosis and it's too late! Taiwan experts provide a simple self-check that we can do every morning: Take a deep breath and hold your breath for more than 10 seconds. If you complete it successfully without coughing, without discomfort, stuffiness or tightness etc it proves there is no fibrosis in the lungs, basically indicating no infection. In critical times, please self-check every morning in an environment with clean air! SERIOUS EXCELLENT ADVICE by Japanese doctors treating COVID-19 cases. Everyone should ensure your mouth & throat is moist, never DRY. Take a few sips of water every 15 mins at least. WHY? Even if the virus gets into your mouth... drinking water or other liquids will WASH them down through your esophagus and into the stomach. Once there in tummy...your stomach ACID will kill all the virus. If you don't drink enough water more regularly...the virus can enter your windpipes and into the LUNGS. That's very dangerous. Pls send and share with family, friends and evervone","To test for the new coronavirus, take a deep breath and hold for more than 10 seconds. If you complete it successfully without coughing, discomfort, stuffiness or tightness it proves there is no fibrosis in the lungs, basically indicating no infection."
1737,"Register yourself for the Pradhan Mantri Berojgar Bhatta Yojana 2022, under this scheme the unemployed youth will be given Rs 6,000 every month.","Under Pradhan Mantri Berojgar Bhatta Yojana 2022, all unemployed people will be given Rs 6,000 per month"
1738,Genius Trump nominates Joe Biden to Supreme Court forcing Dems to accuse him of sexual assault,Trump nominates Biden to the Supreme Court
1739,A new Brexit delivery unit. Reviewing every EU law on our statute book. Starting in my first 100 days.,"There are 2,400 post-Brexit EU laws on our statute book."
